id,dist,mag,absmag,spect,x,y,z
317405,145.1361,9.81,4.001,K 0 IIIE,56.728,124.464,48.531
317408,508.8997,8.71,0.177,A0,59.635,130.846,488.162
317411,182.0411,9.72,3.419,F5,73.959,162.281,36.52
317423,361.8468,8.73,0.937,G8 IV,144.55,317.196,-97.085
317428,53.9998,7.02,3.358,F8,17.17,37.678,34.663
317432,216.9197,10.03,3.349,F5 V,56.001,122.898,-169.747
317439,56.7886,9.27,5.499,G0,22.987,50.45,12.3
317458,111.4707,8.44,3.204,G0 V,37.9,83.201,-63.773
317477,336.8785,7.52,-0.117,G5,52.922,116.203,311.742
317480,45.399,5.72,2.435,AM,18.251,40.075,11.042
317484,402.612,8.21,0.186,K3/4 III,164.352,360.893,-69.58
317525,188.7124,8.57,2.191,A0,49.184,108.05,146.692
317526,202.2683,7.6,1.07,A0,12.195,26.791,200.115
317532,430.5992,8.72,0.55,A0 V,133.051,292.319,-286.814
317542,154.8669,8.15,2.2,A0,12.24,26.894,152.022
317555,162.7484,8.02,1.962,F2 V,63.493,139.526,-54.664
317613,127.3398,7.47,1.945,A7 V,52.545,115.527,-10.383
317640,1169.2002,9.87,-0.469,M,462.728,1017.573,-342.722
317661,155.7761,8.48,2.517,A2mA5/7-A9,63.439,139.539,-27.76
317678,60.2588,11.94,8.04,K7,24.865,54.7,4.557
317688,153.2457,8.44,2.513,F3 V,59.804,131.572,-50.955
317777,206.8771,8.79,2.211,K 0 III,78.924,173.826,79.71
317803,243.9217,10.12,3.184,F5,100.653,221.73,14.24
317810,65.9626,9.09,4.994,G 5 IV,23.51,51.794,33.403
317830,500.9333,8.9,0.401,A2,38.147,84.058,492.355
317850,490.9498,5.91,-2.545,M0III,189.607,417.884,174.51
317879,107.4827,9.54,4.383,G3/5 IV,39.938,88.044,-46.964
317916,473.8269,8.72,0.342,K2 III,92.367,203.688,-417.722
317918,44.0528,9.79,6.57,K8,17.84,39.342,8.636
317930,369.9379,8.07,0.229,B9,122.152,269.413,222.147
317965,190.6037,7.27,0.869,K0 III,78.684,173.595,-1.836
317985,1076.0124,8.99,-1.169,K5,420.265,927.409,-347.983
318002,156.5989,8.77,2.796,A4 V,64.514,142.388,9.314
318072,158.0396,9.19,3.196,F5,64.871,143.256,15.681
318089,511.6313,7.27,-1.275,K5,178.036,393.234,274.658
318109,342.3296,10.25,2.578,K 2 III,126.527,279.507,151.844
318111,379.6726,8.46,0.563,G8 III,89.591,197.915,-311.375
318112,839.8352,9.07,-0.551,M6,344.742,761.573,-80.511
318113,89.2625,5.38,0.627,B9.5V,33.188,73.318,38.61
318124,163.7738,8.04,1.969,F0 V,67.284,148.656,-14.005
318144,631.1757,9.15,0.149,K3 III,222.888,492.546,-325.733
318158,108.1231,7.89,2.72,F5,32.357,71.516,74.358
318165,58.4299,7.71,3.877,G5,14.848,32.817,46.007
318167,320.0541,9.8,2.274,A5,52.687,116.456,293.422
318198,493.3891,7.85,-0.616,K5,136.929,302.789,364.694
318219,539.0812,8.87,0.212,A0,72.141,159.56,509.848
318246,150.5012,8.16,2.272,A2 IV,61.941,137.037,-5.893
318272,485.7538,9.5,1.068,G8 IV,199.969,442.502,12.693
318280,47.1971,6.97,3.6,F 8 IV,18.767,41.534,12.26
318295,125.6001,8.7,3.205,F6 V,10.12,22.4,-123.171
318296,39.5101,7.86,4.876,G4V,15.574,34.471,11.414
318321,183.3406,8.23,1.914,A1 V,70.807,156.768,-63.436
318328,50.2489,10.04,6.534,K2,17.322,38.353,-27.458
318355,439.6987,8.46,0.244,G8 III,126.859,280.956,-313.537
318413,134.1093,8.11,2.473,F5,54.361,120.466,22.761
318416,99.5696,6.77,1.779,A7 IV/V,5.063,11.219,-98.806
318420,187.7317,8.2,1.832,F4III,25.335,56.147,177.338
318432,343.0707,8.81,1.133,G5,51.723,114.643,319.185
318459,998.9945,9.55,-0.448,B8,276.033,611.979,739.782
318461,551.9263,9.86,1.151,K0,210.994,467.796,-203.154
318465,166.4864,8.32,2.213,K2,53.975,119.671,102.388
318473,387.9418,8.87,0.926,K1 III,138.459,307.016,-192.533
318492,538.8792,9.54,0.883,GW,176.284,390.966,-326.283
318515,49.2388,3.77,0.308,K0III,19.295,42.801,14.841
318556,137.4702,6.18,0.489,A 4 V,28.567,63.392,118.59
318572,99.5173,8.03,3.041,G5,40.3312,89.5137,16.2591
318586,159.9898,8.06,2.04,A0,64.8598,143.9746,25.7143
318613,645.5273,9.22,0.17,K5,125.844,279.428,568.145
318614,420.4933,8.99,0.871,K0,117.596,261.114,307.904
318633,252.5413,7.85,0.838,G6 IV,83.351,185.131,-150.187
318638,218.763,8.48,1.78,A0 V,89.78,199.423,-5.201
