4715,206.0498,8.15,1.58,A2,123.09,1.861,165.233
4769,755.4326,8.45,-0.941,M0,432.6,6.616,619.267
4771,364.8612,7.92,0.109,K0,344.144,5.265,121.082
4778,181.4437,7.45,1.156,A5,177.22,2.713,38.829
4791,462.5756,9.01,0.684,G8 III,189.396,2.904,-422.015
4805,356.9323,8.55,0.787,K1 IV/VCNIII,290.18,4.461,-207.79
4808,432.0425,9.23,1.052,K0,84.515,1.3,423.694
4837,906.9978,9.16,-0.628,K5,882.83,13.651,-207.534
4857,140.2107,7.9,2.166,K0,103.606,1.608,94.458
4918,302.2792,8.68,1.278,K0 III,186.8706,2.9435,-237.5778
4930,62.1647,7.78,3.812,F8/G0 V,53.2261,0.8403,-32.1045
4931,681.9735,8.21,-0.959,AP SI,599.725,9.469,-324.543
4954,277.1567,8.11,0.896,A0,93.389,1.481,260.945
4991,74.4192,8.29,3.932,F6 V,40.347,0.645,-62.529
4998,148.1705,7.89,2.036,F0/2 V,147.807,2.366,10.096
5006,296.3672,9.67,2.311,F0 V,223.317,3.581,-194.808
5029,40.2716,8.24,5.215,G8 V,35.422,0.571,-19.152
5033,132.4674,6.8,1.189,A2,87.873,1.418,99.115
5048,337.8153,8.18,0.537,K0,328.623,5.317,78.088
5080,112.5366,8.44,3.184,F5 V,50.0295,0.8158,-100.8014
5087,95.1699,4.55,-0.342,B9IVn,90.835,1.482,-28.358
5088,131.0069,7.45,1.864,A3,97.308,1.588,87.701
5255,290.3288,6.31,-1.004,M0,114.765,1.933,266.676
5277,252.2293,8.15,1.141,A(M),135.955,2.3,212.44
5279,184.6849,8.27,1.938,A2,170.853,2.892,70.068
5294,49.6623,7.66,4.18,G5 IV,43.6819,0.7412,-23.6155
5304,74.7384,8.59,4.222,G2 V,39.787,0.677,-63.264
5333,67.9007,11.55,7.391,M0,50.007,0.855,-45.925
5355,77.8412,7.09,2.634,F0,75.392,1.295,19.331
5365,326.054,8.54,0.974,A6 V,229.357,3.947,-231.713
